VIRUS,Log_PFU,Hour 
WT,6.56,120 hour
WT Delta 611,5.90,120 hour
WT RES,4.97,120 hour
MT,6.05,120 hour
MT Delta 611,4.87,120 hour
MT RES,4.51,120 hour
WT,6.44,96 hour 
WT Delta 611,5.74,96 hour 
WT RES,5.96,96 hour 
MT,5.78,96 hour 
MT Delta 611,4.76,96 hour 
MT RES,7.30,96 hour 
WT,5.75,72 hour
WT Delta 611,5.60,72 hour
WT RES,5.21,72 hour
MT,5.57,72 hour
MT Delta 611,4.09,72 hour
MT RES,5.83,72 hour
WT,4.99,48 hour
WT Delta 611,4.63,48 hour
WT RES,4.36,48 hour
MT,4.60,48 hour
MT Delta 611,4.34,48 hour
MT RES,4.65,48 hour
WT,2.98,24 hour
WT Delta 611,2.72,24 hour
WT RES,2.24,24 hour 
MT,2.78,24 hour
MT Delta 611,1.70,24 hour
MT RES,2.80,24 hour
WT,2.85,12 hour 
WT Delta 611,2.96,12 hour
WT RES,2.38,12 hour
MT,2.78,12 hour
MT Delta 611,2.21,12 hour
MT RES,2.91,12 hour
WT,3.21,0 hour
WT Delta 611,4.05,0 hour
WT RES,2.24,0 hour
MT,3.16,0 hour
MT Delta 611,3.53,0 hour
MT RES,3.03,0 hour
