VIRUS,Log_PFU,Hour
WT,2.63,0
WTD611,3.1,0
WTR,2.68,0
MT,2.82,0
MT611,2.05,0
MTR,2.57,0
WT,2.33,12
WTD611,2.75,12
WTR,2.46,12
MT,2.7,12
MT611,1.57,12
MTR,2.6,12
WT,2.24,24
WTD611,2.49,24
WTR,2,24
MT,2.51,24
MT611,1.4,24
MTR,2.14,24
WT,3.22,48
WTD611,2.54,48
WTR,2.94,48
MT,2,48
MT611,0,48
MTR,1.57,48
WT,4.21,72
WTD611,3.01,72
WTR,3.46,72
MT,1.88,72
MT611,0,72
MTR,2.05,72
WT,4.92,96
WTD611,3.38,96
WTR,3.96,96
MT,1.57,96
MT611,0,96
MTR,1.8,96
WT,5.43,120
WTD611,3.8,120
WTR,4.32,120
MT,0,120
MT611,0,120
MTR,0,120
